1 --> sim
Date of simulation:  22/01/2015,13:57:12
Description:  
1 30/12/1899,00:00:00  0.00000000000000E+0000
1 20/01/2010,00:00:00  0.00000000000000E+0000
1 21/01/2010,00:00:00  0.00000000000000E+0000
1 22/01/2010,00:00:00  0.00000000000000E+0000
1 23/01/2010,00:00:00  0.00000000000000E+0000
1 24/01/2010,00:00:00  7.62955665024627E-0006
1 25/01/2010,00:00:00  7.62955665024635E-0006
1 26/01/2010,00:00:00  7.62955665024627E-0006
1 27/01/2010,00:00:00  7.62955665024635E-0006
1 28/01/2010,00:00:00  4.01952265231860E-0005
1 29/01/2010,00:00:00  4.01952265231865E-0005
1 30/01/2010,00:00:00  4.01952265231860E-0005
1 31/01/2010,00:00:00  4.01952265231865E-0005
1 01/02/2010,00:00:00  1.16836499666207E-0004
1 02/02/2010,00:00:00  1.16836499666208E-0004
1 03/02/2010,00:00:00  1.16836499666207E-0004
1 04/02/2010,00:00:00  1.16836499666208E-0004
1 05/02/2010,00:00:00  2.84661118490724E-0004
1 06/02/2010,00:00:00  2.84661118490725E-0004
1 07/02/2010,00:00:00  2.84661118490723E-0004
1 08/02/2010,00:00:00  7.18910051167243E-0004
1 09/02/2010,00:00:00  6.48072967306855E-0004
1 10/02/2010,00:00:00  6.48072967306854E-0004
1 11/02/2010,00:00:00  6.48072967306856E-0004
1 12/02/2010,00:00:00  6.48072967306853E-0004
1 13/02/2010,00:00:00  1.26169966828381E-0003
1 14/02/2010,00:00:00  1.26169966828381E-0003
1 15/02/2010,00:00:00  1.26169966828381E-0003
1 16/02/2010,00:00:00  2.30171088370892E-0003
1 17/02/2010,00:00:00  2.30171088370893E-0003
1 18/02/2010,00:00:00  2.30171088370892E-0003
1 19/02/2010,00:00:00  2.30171088370893E-0003
1 20/02/2010,00:00:00  4.45293611618043E-0003
1 21/02/2010,00:00:00  4.45293611618042E-0003
1 22/02/2010,00:00:00  4.45293611618042E-0003
1 23/02/2010,00:00:00  4.45293611618043E-0003
1 24/02/2010,00:00:00  9.97184498547134E-0003
1 25/02/2010,00:00:00  8.47653797713882E-0003
1 26/02/2010,00:00:00  8.47653797713883E-0003
1 27/02/2010,00:00:00  8.47653797713884E-0003
1 28/02/2010,00:00:00  8.47653797713883E-0003
1 01/03/2010,00:00:00  1.50772922736002E-0002
1 02/03/2010,00:00:00  1.50772922736001E-0002
1 03/03/2010,00:00:00  1.50772922736002E-0002
1 04/03/2010,00:00:00  1.50772922736001E-0002
1 05/03/2010,00:00:00  1.50772922736002E-0002
1 06/03/2010,00:00:00  1.50772922736002E-0002
1 07/03/2010,00:00:00  1.50772922736002E-0002
1 08/03/2010,00:00:00  1.50772922736002E-0002
1 09/03/2010,00:00:00  2.25795656209201E-0002
1 10/03/2010,00:00:00  2.25795656209201E-0002
1 11/03/2010,00:00:00  2.25795656209202E-0002
1 12/03/2010,00:00:00  2.25795656209201E-0002
1 13/03/2010,00:00:00  2.25795656209202E-0002
1 14/03/2010,00:00:00  2.25795656209202E-0002
1 15/03/2010,00:00:00  2.25795656209202E-0002
1 16/03/2010,00:00:00  3.00534108564347E-0002
1 17/03/2010,00:00:00  3.00534108564348E-0002
1 18/03/2010,00:00:00  3.00534108564347E-0002
1 19/03/2010,00:00:00  3.00534108564348E-0002
1 20/03/2010,00:00:00  3.00534108564348E-0002
1 21/03/2010,00:00:00  3.00534108564347E-0002
1 22/03/2010,00:00:00  3.00534108564348E-0002
1 23/03/2010,00:00:00  3.00534108564348E-0002
1 24/03/2010,00:00:00  3.73083263279217E-0002
1 25/03/2010,00:00:00  3.73083263279218E-0002
1 26/03/2010,00:00:00  3.73083263279218E-0002
1 27/03/2010,00:00:00  3.73083263279217E-0002
