1 --> sim
Date of simulation:  23/01/2015,13:39:05
Description:  
1 30/12/1899,00:00:00  0.00000000000000E+0000
1 20/01/2010,00:00:00  0.00000000000000E+0000
1 21/01/2010,00:00:00  0.00000000000000E+0000
1 22/01/2010,00:00:00  0.00000000000000E+0000
1 23/01/2010,00:00:00  0.00000000000000E+0000
1 24/01/2010,00:00:00  0.00000000000000E+0000
1 25/01/2010,00:00:00  0.00000000000000E+0000
1 26/01/2010,00:00:00  0.00000000000000E+0000
1 27/01/2010,00:00:00  0.00000000000000E+0000
1 28/01/2010,00:00:00  0.00000000000000E+0000
1 29/01/2010,00:00:00  0.00000000000000E+0000
1 30/01/2010,00:00:00  0.00000000000000E+0000
1 31/01/2010,00:00:00  0.00000000000000E+0000
1 01/02/2010,00:00:00  0.00000000000000E+0000
1 02/02/2010,00:00:00  0.00000000000000E+0000
1 03/02/2010,00:00:00  0.00000000000000E+0000
1 04/02/2010,00:00:00  0.00000000000000E+0000
1 05/02/2010,00:00:00  0.00000000000000E+0000
1 06/02/2010,00:00:00  0.00000000000000E+0000
1 07/02/2010,00:00:00  0.00000000000000E+0000
1 08/02/2010,00:00:00  0.00000000000000E+0000
1 09/02/2010,00:00:00  0.00000000000000E+0000
1 10/02/2010,00:00:00  0.00000000000000E+0000
1 11/02/2010,00:00:00  0.00000000000000E+0000
1 12/02/2010,00:00:00  0.00000000000000E+0000
1 13/02/2010,00:00:00  0.00000000000000E+0000
1 14/02/2010,00:00:00  0.00000000000000E+0000
1 15/02/2010,00:00:00  0.00000000000000E+0000
1 16/02/2010,00:00:00  0.00000000000000E+0000
1 17/02/2010,00:00:00  0.00000000000000E+0000
1 18/02/2010,00:00:00  0.00000000000000E+0000
1 19/02/2010,00:00:00  0.00000000000000E+0000
1 20/02/2010,00:00:00  0.00000000000000E+0000
1 21/02/2010,00:00:00  0.00000000000000E+0000
1 22/02/2010,00:00:00  0.00000000000000E+0000
1 23/02/2010,00:00:00  0.00000000000000E+0000
1 24/02/2010,00:00:00  0.00000000000000E+0000
1 25/02/2010,00:00:00  0.00000000000000E+0000
1 26/02/2010,00:00:00  0.00000000000000E+0000
1 27/02/2010,00:00:00  0.00000000000000E+0000
1 28/02/2010,00:00:00  1.94311020493151E-0001
1 01/03/2010,00:00:00  6.15318231561643E-0001
1 02/03/2010,00:00:00  1.03632544263014E+0000
1 03/03/2010,00:00:00  1.45733265369863E+0000
1 04/03/2010,00:00:00  1.87833986476712E+0000
1 05/03/2010,00:00:00  2.29934707583561E+0000
1 06/03/2010,00:00:00  2.72035428690411E+0000
1 07/03/2010,00:00:00  3.14136149797260E+0000
1 08/03/2010,00:00:00  3.35977010700425E+0000
1 09/03/2010,00:00:00  4.14791524910722E+0000
1 10/03/2010,00:00:00  4.93606039121020E+0000
1 11/03/2010,00:00:00  5.72420553331318E+0000
1 12/03/2010,00:00:00  6.51235067541615E+0000
1 13/03/2010,00:00:00  7.30049581751913E+0000
1 14/03/2010,00:00:00  8.08864095962210E+0000
1 15/03/2010,00:00:00  9.57295992774114E+0000
1 16/03/2010,00:00:00  1.08200966587806E+0001
1 17/03/2010,00:00:00  1.16428475440723E+0001
1 18/03/2010,00:00:00  1.24655984293640E+0001
1 19/03/2010,00:00:00  1.32883493146557E+0001
1 20/03/2010,00:00:00  1.41111001999474E+0001
1 21/03/2010,00:00:00  1.49338510852391E+0001
1 22/03/2010,00:00:00  1.56300249112551E+0001
1 23/03/2010,00:00:00  1.62554616123125E+0001
1 24/03/2010,00:00:00  1.74169869142761E+0001
1 25/03/2010,00:00:00  1.85785122162397E+0001
1 26/03/2010,00:00:00  1.97400375182033E+0001
1 27/03/2010,00:00:00  2.09015628201669E+0001
