1 --> sim
Date of simulation:  22/01/2015,13:57:12
Description:  
1 30/12/1899,00:00:00  0.00000000000000E+0000
1 20/01/2010,00:00:00  0.00000000000000E+0000
1 21/01/2010,00:00:00  0.00000000000000E+0000
1 22/01/2010,00:00:00  0.00000000000000E+0000
1 23/01/2010,00:00:00  0.00000000000000E+0000
1 24/01/2010,00:00:00  0.00000000000000E+0000
1 25/01/2010,00:00:00  0.00000000000000E+0000
1 26/01/2010,00:00:00  0.00000000000000E+0000
1 27/01/2010,00:00:00  0.00000000000000E+0000
1 28/01/2010,00:00:00  0.00000000000000E+0000
1 29/01/2010,00:00:00  0.00000000000000E+0000
1 30/01/2010,00:00:00  0.00000000000000E+0000
1 31/01/2010,00:00:00  0.00000000000000E+0000
1 01/02/2010,00:00:00  0.00000000000000E+0000
1 02/02/2010,00:00:00  0.00000000000000E+0000
1 03/02/2010,00:00:00  0.00000000000000E+0000
1 04/02/2010,00:00:00  0.00000000000000E+0000
1 05/02/2010,00:00:00  0.00000000000000E+0000
1 06/02/2010,00:00:00  0.00000000000000E+0000
1 07/02/2010,00:00:00  0.00000000000000E+0000
1 08/02/2010,00:00:00  0.00000000000000E+0000
1 09/02/2010,00:00:00  0.00000000000000E+0000
1 10/02/2010,00:00:00  0.00000000000000E+0000
1 11/02/2010,00:00:00  0.00000000000000E+0000
1 12/02/2010,00:00:00  0.00000000000000E+0000
1 13/02/2010,00:00:00  0.00000000000000E+0000
1 14/02/2010,00:00:00  0.00000000000000E+0000
1 15/02/2010,00:00:00  0.00000000000000E+0000
1 16/02/2010,00:00:00  0.00000000000000E+0000
1 17/02/2010,00:00:00  0.00000000000000E+0000
1 18/02/2010,00:00:00  0.00000000000000E+0000
1 19/02/2010,00:00:00  0.00000000000000E+0000
1 20/02/2010,00:00:00  0.00000000000000E+0000
1 21/02/2010,00:00:00  0.00000000000000E+0000
1 22/02/2010,00:00:00  0.00000000000000E+0000
1 23/02/2010,00:00:00  0.00000000000000E+0000
1 24/02/2010,00:00:00  0.00000000000000E+0000
1 25/02/2010,00:00:00  0.00000000000000E+0000
1 26/02/2010,00:00:00  0.00000000000000E+0000
1 27/02/2010,00:00:00  0.00000000000000E+0000
1 28/02/2010,00:00:00  2.06234353814696E-0001
1 01/03/2010,00:00:00  6.53075453746539E-0001
1 02/03/2010,00:00:00  1.09991655367838E+0000
1 03/03/2010,00:00:00  1.54675765361022E+0000
1 04/03/2010,00:00:00  1.99359875354207E+0000
1 05/03/2010,00:00:00  2.44043985347391E+0000
1 06/03/2010,00:00:00  2.88728095340575E+0000
1 07/03/2010,00:00:00  3.33412205333759E+0000
1 08/03/2010,00:00:00  3.56178216782890E+0000
1 09/03/2010,00:00:00  4.37131126212460E+0000
1 10/03/2010,00:00:00  5.18084035642031E+0000
1 11/03/2010,00:00:00  5.99036945071602E+0000
1 12/03/2010,00:00:00  6.79989854501172E+0000
1 13/03/2010,00:00:00  7.60942763930743E+0000
1 14/03/2010,00:00:00  8.41895673360314E+0000
1 15/03/2010,00:00:00  9.94453750185198E+0000
1 16/03/2010,00:00:00  1.12266806707949E+0001
1 17/03/2010,00:00:00  1.20729235581941E+0001
1 18/03/2010,00:00:00  1.29191664455932E+0001
1 19/03/2010,00:00:00  1.37654093329924E+0001
1 20/03/2010,00:00:00  1.46116522203915E+0001
1 21/03/2010,00:00:00  1.54578951077907E+0001
1 22/03/2010,00:00:00  1.61739467817439E+0001
1 23/03/2010,00:00:00  1.68130603013607E+0001
1 24/03/2010,00:00:00  1.79999854092205E+0001
1 25/03/2010,00:00:00  1.91869105170802E+0001
1 26/03/2010,00:00:00  2.03738356249400E+0001
1 27/03/2010,00:00:00  2.15607607327998E+0001
