1 --> sim
Date of simulation:  24/03/2015,10:25:43
Description:  
1 30/12/1899,00:00:00  0.00000000000000E+0000
1 20/01/2010,00:00:00  0.00000000000000E+0000
1 21/01/2010,00:00:00  0.00000000000000E+0000
1 22/01/2010,00:00:00  0.00000000000000E+0000
1 23/01/2010,00:00:00  0.00000000000000E+0000
1 24/01/2010,00:00:00  0.00000000000000E+0000
1 25/01/2010,00:00:00  0.00000000000000E+0000
1 26/01/2010,00:00:00  0.00000000000000E+0000
1 27/01/2010,00:00:00  0.00000000000000E+0000
1 28/01/2010,00:00:00  0.00000000000000E+0000
1 29/01/2010,00:00:00  0.00000000000000E+0000
1 30/01/2010,00:00:00  0.00000000000000E+0000
1 31/01/2010,00:00:00  0.00000000000000E+0000
1 01/02/2010,00:00:00  0.00000000000000E+0000
1 02/02/2010,00:00:00  0.00000000000000E+0000
1 03/02/2010,00:00:00  0.00000000000000E+0000
1 04/02/2010,00:00:00  0.00000000000000E+0000
1 05/02/2010,00:00:00  0.00000000000000E+0000
1 06/02/2010,00:00:00  0.00000000000000E+0000
1 07/02/2010,00:00:00  0.00000000000000E+0000
1 08/02/2010,00:00:00  0.00000000000000E+0000
1 09/02/2010,00:00:00  0.00000000000000E+0000
1 10/02/2010,00:00:00  0.00000000000000E+0000
1 11/02/2010,00:00:00  0.00000000000000E+0000
1 12/02/2010,00:00:00  0.00000000000000E+0000
1 13/02/2010,00:00:00  0.00000000000000E+0000
1 14/02/2010,00:00:00  0.00000000000000E+0000
1 15/02/2010,00:00:00  0.00000000000000E+0000
1 16/02/2010,00:00:00  0.00000000000000E+0000
1 17/02/2010,00:00:00  0.00000000000000E+0000
1 18/02/2010,00:00:00  0.00000000000000E+0000
1 19/02/2010,00:00:00  0.00000000000000E+0000
1 20/02/2010,00:00:00  0.00000000000000E+0000
1 21/02/2010,00:00:00  0.00000000000000E+0000
1 22/02/2010,00:00:00  0.00000000000000E+0000
1 23/02/2010,00:00:00  0.00000000000000E+0000
1 24/02/2010,00:00:00  0.00000000000000E+0000
1 25/02/2010,00:00:00  0.00000000000000E+0000
1 26/02/2010,00:00:00  0.00000000000000E+0000
1 27/02/2010,00:00:00  1.26094135999689E-0003
1 28/02/2010,00:00:00  3.60268959999112E-0003
1 01/03/2010,00:00:00  5.94443783998536E-0003
1 02/03/2010,00:00:00  8.28618607997959E-0003
1 03/03/2010,00:00:00  1.06279343199738E-0002
1 04/03/2010,00:00:00  1.29696825599680E-0002
1 05/03/2010,00:00:00  1.53114307999622E-0002
1 06/03/2010,00:00:00  1.76531790399565E-0002
1 07/03/2010,00:00:00  2.12892351865928E-0002
1 08/03/2010,00:00:00  2.51606200435277E-0002
1 09/03/2010,00:00:00  2.90320049004625E-0002
1 10/03/2010,00:00:00  3.29033897573974E-0002
1 11/03/2010,00:00:00  3.67747746143322E-0002
1 12/03/2010,00:00:00  4.06461594712671E-0002
1 13/03/2010,00:00:00  4.45175443282020E-0002
1 14/03/2010,00:00:00  4.84097202600144E-0002
1 15/03/2010,00:00:00  5.24162471036535E-0002
1 16/03/2010,00:00:00  5.64227739472926E-0002
1 17/03/2010,00:00:00  6.04293007909318E-0002
1 18/03/2010,00:00:00  6.44358276345709E-0002
1 19/03/2010,00:00:00  6.84423544782100E-0002
1 20/03/2010,00:00:00  7.24488813218492E-0002
1 21/03/2010,00:00:00  7.64554081654883E-0002
1 22/03/2010,00:00:00  8.09737950054845E-0002
1 23/03/2010,00:00:00  8.60893518412306E-0002
1 24/03/2010,00:00:00  9.12049086769767E-0002
1 25/03/2010,00:00:00  9.63204655127228E-0002
1 26/03/2010,00:00:00  1.01436022348468E-0001
1 27/03/2010,00:00:00  1.06551579184215E-0001
