1 --> sim
Date of simulation:  24/03/2015,10:25:43
Description:  
1 30/12/1899,00:00:00  0.00000000000000E+0000
1 20/01/2010,00:00:00  0.00000000000000E+0000
1 21/01/2010,00:00:00  0.00000000000000E+0000
1 22/01/2010,00:00:00  0.00000000000000E+0000
1 23/01/2010,00:00:00  0.00000000000000E+0000
1 24/01/2010,00:00:00  7.94745484400654E-0006
1 25/01/2010,00:00:00  7.94745484400663E-0006
1 26/01/2010,00:00:00  7.94745484400654E-0006
1 27/01/2010,00:00:00  7.94745484400654E-0006
1 28/01/2010,00:00:00  4.18700276283190E-0005
1 29/01/2010,00:00:00  4.18700276283191E-0005
1 30/01/2010,00:00:00  4.18700276283190E-0005
1 31/01/2010,00:00:00  4.18700276283190E-0005
1 01/02/2010,00:00:00  1.21704687152300E-0004
1 02/02/2010,00:00:00  1.21704687152299E-0004
1 03/02/2010,00:00:00  1.21704687152300E-0004
1 04/02/2010,00:00:00  1.21704687152299E-0004
1 05/02/2010,00:00:00  3.05631058142581E-0004
1 06/02/2010,00:00:00  3.05631058142580E-0004
1 07/02/2010,00:00:00  3.05631058142581E-0004
1 08/02/2010,00:00:00  3.05631058142580E-0004
1 09/02/2010,00:00:00  7.52500308870501E-0004
1 10/02/2010,00:00:00  7.52500308870498E-0004
1 11/02/2010,00:00:00  7.52500308870500E-0004
1 12/02/2010,00:00:00  7.52500308870500E-0004
1 13/02/2010,00:00:00  1.61209920559181E-0003
1 14/02/2010,00:00:00  1.61209920559180E-0003
1 15/02/2010,00:00:00  1.61209920559181E-0003
1 16/02/2010,00:00:00  2.94790081606767E-0003
1 17/02/2010,00:00:00  2.94790081606766E-0003
1 18/02/2010,00:00:00  2.94790081606767E-0003
1 19/02/2010,00:00:00  2.94790081606767E-0003
1 20/02/2010,00:00:00  5.29575830865401E-0003
1 21/02/2010,00:00:00  5.29575830865400E-0003
1 22/02/2010,00:00:00  5.29575830865401E-0003
1 23/02/2010,00:00:00  5.29575830865401E-0003
1 24/02/2010,00:00:00  9.87197906751538E-0003
1 25/02/2010,00:00:00  9.87197906751536E-0003
1 26/02/2010,00:00:00  9.87197906751539E-0003
1 27/02/2010,00:00:00  9.87197906751536E-0003
1 28/02/2010,00:00:00  1.81478732088734E-0002
1 01/03/2010,00:00:00  1.81478732088734E-0002
1 02/03/2010,00:00:00  1.81478732088734E-0002
1 03/03/2010,00:00:00  1.81478732088733E-0002
1 04/03/2010,00:00:00  1.81478732088734E-0002
1 05/03/2010,00:00:00  1.81478732088733E-0002
1 06/03/2010,00:00:00  1.81478732088733E-0002
1 07/03/2010,00:00:00  1.81478732088734E-0002
1 08/03/2010,00:00:00  2.86527688172408E-0002
1 09/03/2010,00:00:00  2.86527688172408E-0002
1 10/03/2010,00:00:00  2.86527688172408E-0002
1 11/03/2010,00:00:00  2.86527688172408E-0002
1 12/03/2010,00:00:00  2.86527688172408E-0002
1 13/03/2010,00:00:00  2.86527688172408E-0002
1 14/03/2010,00:00:00  2.86527688172408E-0002
1 15/03/2010,00:00:00  3.97283919488364E-0002
1 16/03/2010,00:00:00  3.97283919488364E-0002
1 17/03/2010,00:00:00  3.97283919488364E-0002
1 18/03/2010,00:00:00  3.97283919488364E-0002
1 19/03/2010,00:00:00  3.97283919488364E-0002
1 20/03/2010,00:00:00  3.97283919488363E-0002
1 21/03/2010,00:00:00  3.97283919488364E-0002
1 22/03/2010,00:00:00  3.97283919488364E-0002
1 23/03/2010,00:00:00  5.07825911536631E-0002
1 24/03/2010,00:00:00  5.07825911536630E-0002
1 25/03/2010,00:00:00  5.07825911536632E-0002
1 26/03/2010,00:00:00  5.07825911536631E-0002
1 27/03/2010,00:00:00  5.07825911536631E-0002
