1 --> sim
Date of simulation:  24/03/2015,10:25:43
Description:  
1 30/12/1899,00:00:00  0.00000000000000E+0000
1 20/01/2010,00:00:00  0.00000000000000E+0000
1 21/01/2010,00:00:00  0.00000000000000E+0000
1 22/01/2010,00:00:00  0.00000000000000E+0000
1 23/01/2010,00:00:00  0.00000000000000E+0000
1 24/01/2010,00:00:00  0.00000000000000E+0000
1 25/01/2010,00:00:00  0.00000000000000E+0000
1 26/01/2010,00:00:00  0.00000000000000E+0000
1 27/01/2010,00:00:00  0.00000000000000E+0000
1 28/01/2010,00:00:00  0.00000000000000E+0000
1 29/01/2010,00:00:00  0.00000000000000E+0000
1 30/01/2010,00:00:00  0.00000000000000E+0000
1 31/01/2010,00:00:00  0.00000000000000E+0000
1 01/02/2010,00:00:00  0.00000000000000E+0000
1 02/02/2010,00:00:00  0.00000000000000E+0000
1 03/02/2010,00:00:00  0.00000000000000E+0000
1 04/02/2010,00:00:00  0.00000000000000E+0000
1 05/02/2010,00:00:00  0.00000000000000E+0000
1 06/02/2010,00:00:00  0.00000000000000E+0000
1 07/02/2010,00:00:00  0.00000000000000E+0000
1 08/02/2010,00:00:00  0.00000000000000E+0000
1 09/02/2010,00:00:00  0.00000000000000E+0000
1 10/02/2010,00:00:00  0.00000000000000E+0000
1 11/02/2010,00:00:00  0.00000000000000E+0000
1 12/02/2010,00:00:00  0.00000000000000E+0000
1 13/02/2010,00:00:00  0.00000000000000E+0000
1 14/02/2010,00:00:00  0.00000000000000E+0000
1 15/02/2010,00:00:00  0.00000000000000E+0000
1 16/02/2010,00:00:00  0.00000000000000E+0000
1 17/02/2010,00:00:00  0.00000000000000E+0000
1 18/02/2010,00:00:00  0.00000000000000E+0000
1 19/02/2010,00:00:00  0.00000000000000E+0000
1 20/02/2010,00:00:00  0.00000000000000E+0000
1 21/02/2010,00:00:00  0.00000000000000E+0000
1 22/02/2010,00:00:00  0.00000000000000E+0000
1 23/02/2010,00:00:00  0.00000000000000E+0000
1 24/02/2010,00:00:00  0.00000000000000E+0000
1 25/02/2010,00:00:00  0.00000000000000E+0000
1 26/02/2010,00:00:00  0.00000000000000E+0000
1 27/02/2010,00:00:00  2.42248275862069E-0001
1 28/02/2010,00:00:00  6.92137931034482E-0001
1 01/03/2010,00:00:00  1.14202758620690E+0000
1 02/03/2010,00:00:00  1.59191724137931E+0000
1 03/03/2010,00:00:00  2.04180689655172E+0000
1 04/03/2010,00:00:00  2.49169655172414E+0000
1 05/03/2010,00:00:00  2.94158620689655E+0000
1 06/03/2010,00:00:00  3.39147586206896E+0000
1 07/03/2010,00:00:00  4.15202068965517E+0000
1 08/03/2010,00:00:00  4.96904827586206E+0000
1 09/03/2010,00:00:00  5.78607586206896E+0000
1 10/03/2010,00:00:00  6.60310344827586E+0000
1 11/03/2010,00:00:00  7.42013103448275E+0000
1 12/03/2010,00:00:00  8.23715862068965E+0000
1 13/03/2010,00:00:00  9.05418620689654E+0000
1 14/03/2010,00:00:00  9.87686206896551E+0000
1 15/03/2010,00:00:00  1.07306034482758E+0001
1 16/03/2010,00:00:00  1.15843448275862E+0001
1 17/03/2010,00:00:00  1.24380862068965E+0001
1 18/03/2010,00:00:00  1.32918275862068E+0001
1 19/03/2010,00:00:00  1.41455689655172E+0001
1 20/03/2010,00:00:00  1.49993103448275E+0001
1 21/03/2010,00:00:00  1.58530517241379E+0001
1 22/03/2010,00:00:00  1.68643121090617E+0001
1 23/03/2010,00:00:00  1.80593446672013E+0001
1 24/03/2010,00:00:00  1.92543772253408E+0001
1 25/03/2010,00:00:00  2.04494097834803E+0001
1 26/03/2010,00:00:00  2.16444423416199E+0001
1 27/03/2010,00:00:00  2.28394748997594E+0001
