1 --> sim_2014
Date of simulation:  10/06/2015,14:08:40
Description:  
1 27/05/2014,00:00:00  2.01600000000000E+0002
1 28/05/2014,00:00:00  2.01600000000000E+0002
1 29/05/2014,00:00:00  2.01600000000000E+0002
1 30/05/2014,00:00:00  2.01600000000000E+0002
1 31/05/2014,00:00:00  2.01600000000000E+0002
1 01/06/2014,00:00:00  2.01600000000000E+0002
1 02/06/2014,00:00:00  2.01600000000000E+0002
1 03/06/2014,00:00:00  1.86297465319917E+0002
1 04/06/2014,00:00:00  1.61058874627676E+0002
1 05/06/2014,00:00:00  1.67000754431621E+0002
1 06/06/2014,00:00:00  1.67000754431621E+0002
1 07/06/2014,00:00:00  1.67000754431621E+0002
1 08/06/2014,00:00:00  1.67000754431621E+0002
1 09/06/2014,00:00:00  1.46761493220876E+0002
1 10/06/2014,00:00:00  1.46761493220876E+0002
1 11/06/2014,00:00:00  1.45715511442493E+0002
1 12/06/2014,00:00:00  1.32401508863242E+0002
1 13/06/2014,00:00:00  1.12818370837420E+0002
1 14/06/2014,00:00:00  1.22096802985925E+0002
1 15/06/2014,00:00:00  1.01029544018488E+0002
1 16/06/2014,00:00:00  1.04813353627984E+0002
1 17/06/2014,00:00:00  1.08505544666703E+0002
1 18/06/2014,00:00:00  1.12162247652497E+0002
1 19/06/2014,00:00:00  1.12162247652497E+0002
1 20/06/2014,00:00:00  1.12162247652497E+0002
1 21/06/2014,00:00:00  1.04467637654131E+0002
1 22/06/2014,00:00:00  1.04467637654131E+0002
1 23/06/2014,00:00:00  1.03746453993288E+0002
1 24/06/2014,00:00:00  9.78022632948626E+0001
1 25/06/2014,00:00:00  9.00961320354540E+0001
1 26/06/2014,00:00:00  8.00924860561862E+0001
1 27/06/2014,00:00:00  7.37232004545060E+0001
1 28/06/2014,00:00:00  6.56592760298235E+0001
1 29/06/2014,00:00:00  6.56592760298235E+0001
1 30/06/2014,00:00:00  6.56592760298235E+0001
1 01/07/2014,00:00:00  6.19027100603531E+0001
1 02/07/2014,00:00:00  6.19027100603531E+0001
1 03/07/2014,00:00:00  6.19027100603531E+0001
1 04/07/2014,00:00:00  5.85044827855378E+0001
1 05/07/2014,00:00:00  5.85044827855378E+0001
1 06/07/2014,00:00:00  6.36580078803096E+0001
1 07/07/2014,00:00:00  5.85044827855378E+0001
1 08/07/2014,00:00:00  6.35663088179497E+0001
1 09/07/2014,00:00:00  5.54021443457987E+0001
1 10/07/2014,00:00:00  5.54021443457987E+0001
1 11/07/2014,00:00:00  5.54021443457987E+0001
1 12/07/2014,00:00:00  5.97415402245381E+0001
1 13/07/2014,00:00:00  5.54021443457987E+0001
1 14/07/2014,00:00:00  5.25482696293234E+0001
1 15/07/2014,00:00:00  5.70002343734021E+0001
1 16/07/2014,00:00:00  5.25482696293234E+0001
1 17/07/2014,00:00:00  5.48982328931702E+0001
1 18/07/2014,00:00:00  5.25482696293234E+0001
1 19/07/2014,00:00:00  4.99059943469657E+0001
1 20/07/2014,00:00:00  4.99059943469657E+0001
1 21/07/2014,00:00:00  4.99059943469657E+0001
1 22/07/2014,00:00:00  4.99059943469657E+0001
1 23/07/2014,00:00:00  4.99059943469657E+0001
1 24/07/2014,00:00:00  5.14183671656663E+0001
1 25/07/2014,00:00:00  4.74460949098214E+0001
1 26/07/2014,00:00:00  4.74460949098214E+0001
1 27/07/2014,00:00:00  4.74460949098214E+0001
