1 --> sim_2014
Date of simulation:  10/06/2015,14:08:40
Description:  
1 27/05/2014,00:00:00  4.76190476190476E+0002
1 28/05/2014,00:00:00  4.76190476190476E+0002
1 29/05/2014,00:00:00  4.76190476190476E+0002
1 30/05/2014,00:00:00  4.76190476190476E+0002
1 31/05/2014,00:00:00  3.94465122901599E+0002
1 01/06/2014,00:00:00  3.94465122901599E+0002
1 02/06/2014,00:00:00  3.94465122901599E+0002
1 03/06/2014,00:00:00  4.26866617000938E+0002
1 04/06/2014,00:00:00  4.33918500329975E+0002
1 05/06/2014,00:00:00  3.46658855869417E+0002
1 06/06/2014,00:00:00  3.46658855869417E+0002
1 07/06/2014,00:00:00  3.46658855869417E+0002
1 08/06/2014,00:00:00  3.12739769612721E+0002
1 09/06/2014,00:00:00  3.12739769612721E+0002
1 10/06/2014,00:00:00  3.12739769612721E+0002
1 11/06/2014,00:00:00  2.88486147899929E+0002
1 12/06/2014,00:00:00  2.86430082324437E+0002
1 13/06/2014,00:00:00  3.36148933919894E+0002
1 14/06/2014,00:00:00  2.87293316714693E+0002
1 15/06/2014,00:00:00  3.17992545061070E+0002
1 16/06/2014,00:00:00  3.06512869942375E+0002
1 17/06/2014,00:00:00  2.75770921619034E+0002
1 18/06/2014,00:00:00  2.46758403378050E+0002
1 19/06/2014,00:00:00  2.46758403378050E+0002
1 20/06/2014,00:00:00  2.31014416323844E+0002
1 21/06/2014,00:00:00  2.31014416323844E+0002
1 22/06/2014,00:00:00  2.31014416323844E+0002
1 23/06/2014,00:00:00  2.18636574986712E+0002
1 24/06/2014,00:00:00  2.17127235548358E+0002
1 25/06/2014,00:00:00  2.35698631892762E+0002
1 26/06/2014,00:00:00  2.49968340260964E+0002
1 27/06/2014,00:00:00  2.55239462146116E+0002
1 28/06/2014,00:00:00  2.86586620649783E+0002
1 29/06/2014,00:00:00  2.86586620649783E+0002
1 30/06/2014,00:00:00  2.70854086970082E+0002
1 01/07/2014,00:00:00  2.70854086970082E+0002
1 02/07/2014,00:00:00  2.70854086970082E+0002
1 03/07/2014,00:00:00  2.56491409008327E+0002
1 04/07/2014,00:00:00  2.56491409008327E+0002
1 05/07/2014,00:00:00  2.56491409008327E+0002
1 06/07/2014,00:00:00  2.35726780064815E+0002
1 07/07/2014,00:00:00  2.43279026061682E+0002
1 08/07/2014,00:00:00  2.12033386377293E+0002
1 09/07/2014,00:00:00  2.43279026061682E+0002
1 10/07/2014,00:00:00  2.43279026061682E+0002
1 11/07/2014,00:00:00  2.43279026061682E+0002
1 12/07/2014,00:00:00  2.25608172596773E+0002
1 13/07/2014,00:00:00  2.31046270124841E+0002
1 14/07/2014,00:00:00  2.31046270124841E+0002
