1 --> sim_2014
Date of simulation:  25/03/2015,15:20:33
Description:  
1 27/05/2014,00:00:00  1.61720431219118E-0004
1 28/05/2014,00:00:00  3.22634278422563E-0004
1 29/05/2014,00:00:00  7.22995798047666E-0004
1 30/05/2014,00:00:00  1.94117451928975E-0003
1 31/05/2014,00:00:00  3.91036255269142E-0003
1 01/06/2014,00:00:00  5.72740576739671E-0003
1 02/06/2014,00:00:00  1.33397357439637E-0002
1 03/06/2014,00:00:00  2.68332008047003E-0002
1 04/06/2014,00:00:00  2.87322579566280E-0002
1 05/06/2014,00:00:00  4.13698379726596E-0002
1 06/06/2014,00:00:00  6.07008852073616E-0002
1 07/06/2014,00:00:00  9.32278904433335E-0002
1 08/06/2014,00:00:00  9.56470043638243E-0002
1 09/06/2014,00:00:00  1.31955701072991E-0001
1 10/06/2014,00:00:00  2.18975486396509E-0001
1 11/06/2014,00:00:00  2.34560081911867E-0001
1 12/06/2014,00:00:00  3.66854218839717E-0001
1 13/06/2014,00:00:00  3.81643287930123E-0001
1 14/06/2014,00:00:00  5.80520011601737E-0001
1 15/06/2014,00:00:00  5.96588927719480E-0001
1 16/06/2014,00:00:00  7.20319704950342E-0001
1 17/06/2014,00:00:00  7.34748663074080E-0001
1 18/06/2014,00:00:00  8.47767555729719E-0001
1 19/06/2014,00:00:00  1.15839949641669E+0000
1 20/06/2014,00:00:00  1.16170890892783E+0000
1 21/06/2014,00:00:00  1.38383733640181E+0000
1 22/06/2014,00:00:00  1.93344976789818E+0000
1 23/06/2014,00:00:00  2.02303625804968E+0000
1 24/06/2014,00:00:00  2.64397556855661E+0000
1 25/06/2014,00:00:00  2.73091874599116E+0000
1 26/06/2014,00:00:00  3.04832654354014E+0000
1 27/06/2014,00:00:00  3.49754211315120E+0000
1 28/06/2014,00:00:00  3.49754211315120E+0000
1 29/06/2014,00:00:00  3.49754211315120E+0000
1 30/06/2014,00:00:00  3.89075364131361E+0000
1 01/07/2014,00:00:00  3.89075364131361E+0000
1 02/07/2014,00:00:00  3.89075364131361E+0000
1 03/07/2014,00:00:00  3.89075364131361E+0000
1 04/07/2014,00:00:00  3.89075364131361E+0000
1 05/07/2014,00:00:00  3.89075364131361E+0000
1 06/07/2014,00:00:00  3.89075364131361E+0000
1 07/07/2014,00:00:00  3.89075364131361E+0000
1 08/07/2014,00:00:00  3.89075364131361E+0000
1 09/07/2014,00:00:00  3.89075364131361E+0000
1 10/07/2014,00:00:00  3.89075364131361E+0000
1 11/07/2014,00:00:00  3.89075364131361E+0000
1 12/07/2014,00:00:00  3.89075364131361E+0000
