1 --> sim_03
Date of simulation:  11/03/2016,14:46:53
Description:  
1 30/12/1899,00:00:00  0.00000000000000E+0000
1 18/05/2015,00:00:00  0.00000000000000E+0000
1 19/05/2015,00:00:00  0.00000000000000E+0000
1 20/05/2015,00:00:00  0.00000000000000E+0000
1 21/05/2015,00:00:00  0.00000000000000E+0000
1 22/05/2015,00:00:00  0.00000000000000E+0000
1 23/05/2015,00:00:00  0.00000000000000E+0000
1 24/05/2015,00:00:00  0.00000000000000E+0000
1 25/05/2015,00:00:00  0.00000000000000E+0000
1 26/05/2015,00:00:00  0.00000000000000E+0000
1 27/05/2015,00:00:00  0.00000000000000E+0000
1 28/05/2015,00:00:00  0.00000000000000E+0000
1 29/05/2015,00:00:00  0.00000000000000E+0000
1 30/05/2015,00:00:00  0.00000000000000E+0000
1 31/05/2015,00:00:00  0.00000000000000E+0000
1 01/06/2015,00:00:00  0.00000000000000E+0000
1 02/06/2015,00:00:00  0.00000000000000E+0000
1 03/06/2015,00:00:00  0.00000000000000E+0000
1 04/06/2015,00:00:00  0.00000000000000E+0000
1 05/06/2015,00:00:00  0.00000000000000E+0000
1 06/06/2015,00:00:00  0.00000000000000E+0000
1 07/06/2015,00:00:00  0.00000000000000E+0000
1 08/06/2015,00:00:00  0.00000000000000E+0000
1 09/06/2015,00:00:00  0.00000000000000E+0000
1 10/06/2015,00:00:00  0.00000000000000E+0000
1 11/06/2015,00:00:00  0.00000000000000E+0000
1 12/06/2015,00:00:00  0.00000000000000E+0000
1 13/06/2015,00:00:00  0.00000000000000E+0000
1 14/06/2015,00:00:00  0.00000000000000E+0000
1 15/06/2015,00:00:00  0.00000000000000E+0000
1 16/06/2015,00:00:00  0.00000000000000E+0000
1 17/06/2015,00:00:00  0.00000000000000E+0000
1 18/06/2015,00:00:00  0.00000000000000E+0000
1 19/06/2015,00:00:00 -5.60839297825506E-0001
1 20/06/2015,00:00:00  0.00000000000000E+0000
1 21/06/2015,00:00:00  0.00000000000000E+0000
1 22/06/2015,00:00:00 -3.57796442265528E-0001
1 23/06/2015,00:00:00  0.00000000000000E+0000
1 24/06/2015,00:00:00  0.00000000000000E+0000
1 25/06/2015,00:00:00 -2.54188725543058E-0001
1 26/06/2015,00:00:00  0.00000000000000E+0000
1 27/06/2015,00:00:00 -6.72971651069287E-0002
1 28/06/2015,00:00:00  0.00000000000000E+0000
1 29/06/2015,00:00:00 -6.03287613326000E-0001
1 30/06/2015,00:00:00  0.00000000000000E+0000
1 01/07/2015,00:00:00  0.00000000000000E+0000
1 02/07/2015,00:00:00 -1.63362970464426E+0000
1 03/07/2015,00:00:00  0.00000000000000E+0000
1 04/07/2015,00:00:00 -2.96384379270014E+0000
1 05/07/2015,00:00:00 -9.38605412680054E-0001
1 06/07/2015,00:00:00  0.00000000000000E+0000
1 07/07/2015,00:00:00 -9.70686852015143E-0001
1 08/07/2015,00:00:00  0.00000000000000E+0000
1 09/07/2015,00:00:00 -1.90450168437226E+0000
1 10/07/2015,00:00:00  0.00000000000000E+0000
1 11/07/2015,00:00:00 -3.48399166531533E+0000
1 12/07/2015,00:00:00 -1.17888913223025E+0000
1 13/07/2015,00:00:00 -4.96962234267551E+0000
1 14/07/2015,00:00:00 -3.42450384939343E+0000
