1 --> sim_03
Date of simulation:  11/03/2016,14:46:53
Description:  
1 18/05/2015,00:00:00  2.85714285714286E-0001
1 19/05/2015,00:00:00  2.85714285714286E-0001
1 20/05/2015,00:00:00  2.85714285714286E-0001
1 21/05/2015,00:00:00  2.85714285714286E-0001
1 22/05/2015,00:00:00  2.85714285714286E-0001
1 23/05/2015,00:00:00  2.85714285714286E-0001
1 24/05/2015,00:00:00  2.85714285714286E-0001
1 25/05/2015,00:00:00  2.85714285714286E-0001
1 26/05/2015,00:00:00  1.08882701587116E-0001
1 27/05/2015,00:00:00  1.93341478585553E-0001
1 28/05/2015,00:00:00  2.85714285714286E-0001
1 29/05/2015,00:00:00  2.85714285714286E-0001
1 30/05/2015,00:00:00  2.30681978341918E-0001
1 31/05/2015,00:00:00  2.76836108926572E-0001
1 01/06/2015,00:00:00  2.85714285714286E-0001
1 02/06/2015,00:00:00  2.85714285714286E-0001
1 03/06/2015,00:00:00  2.85714285714286E-0001
1 04/06/2015,00:00:00  2.60124569158856E-0001
1 05/06/2015,00:00:00  2.85714285714286E-0001
1 06/06/2015,00:00:00  2.85714285714286E-0001
1 07/06/2015,00:00:00  1.34510720139430E-0001
1 08/06/2015,00:00:00  2.85714285714286E-0001
1 09/06/2015,00:00:00  2.45290025828309E-0001
1 10/06/2015,00:00:00  2.11916224201342E-0001
1 11/06/2015,00:00:00  2.85714285714286E-0001
1 12/06/2015,00:00:00  1.93264458251330E-0001
1 13/06/2015,00:00:00  2.27501774842000E-0001
1 14/06/2015,00:00:00  2.20552600149310E-0001
1 15/06/2015,00:00:00  2.85714285714286E-0001
1 16/06/2015,00:00:00  2.42795740040622E-0001
1 17/06/2015,00:00:00  2.87875441932998E-0001
1 18/06/2015,00:00:00  1.03278248669736E-0001
1 19/06/2015,00:00:00  0.00000000000000E+0000
1 20/06/2015,00:00:00  1.16483879257119E-0001
1 21/06/2015,00:00:00  1.51864824311744E-0002
1 22/06/2015,00:00:00  0.00000000000000E+0000
1 23/06/2015,00:00:00  9.72391499905558E-0002
1 24/06/2015,00:00:00  4.29974922482439E-0002
1 25/06/2015,00:00:00  0.00000000000000E+0000
1 26/06/2015,00:00:00  8.69023291439158E-0002
1 27/06/2015,00:00:00  0.00000000000000E+0000
1 28/06/2015,00:00:00  8.37637112014153E-0002
1 29/06/2015,00:00:00  0.00000000000000E+0000
1 30/06/2015,00:00:00  5.61989018393942E-0002
1 01/07/2015,00:00:00  9.66365318612458E-0003
1 02/07/2015,00:00:00  0.00000000000000E+0000
1 03/07/2015,00:00:00  6.86112578609663E-0003
1 04/07/2015,00:00:00  0.00000000000000E+0000
1 05/07/2015,00:00:00  0.00000000000000E+0000
1 06/07/2015,00:00:00  3.34618336333700E-0002
1 07/07/2015,00:00:00  0.00000000000000E+0000
1 08/07/2015,00:00:00  3.34475376676850E-0002
1 09/07/2015,00:00:00  0.00000000000000E+0000
1 10/07/2015,00:00:00  1.11861963093985E-0002
1 11/07/2015,00:00:00  0.00000000000000E+0000
1 12/07/2015,00:00:00  0.00000000000000E+0000
1 13/07/2015,00:00:00  0.00000000000000E+0000
