1 --> sim_2014
Date of simulation:  09/04/2015,16:27:31
Description:  
1 27/05/2014,00:00:00  2.96741067826657E-0002
1 28/05/2014,00:00:00  2.91026755524917E-0002
1 29/05/2014,00:00:00  2.74469730593280E-0002
1 30/05/2014,00:00:00  2.41893617463662E-0002
1 31/05/2014,00:00:00  1.96551342182577E-0002
1 01/06/2014,00:00:00  9.87498094939182E-0003
1 02/06/2014,00:00:00  0.00000000000000E+0000
1 03/06/2014,00:00:00  0.00000000000000E+0000
1 04/06/2014,00:00:00  0.00000000000000E+0000
1 05/06/2014,00:00:00  0.00000000000000E+0000
1 06/06/2014,00:00:00  0.00000000000000E+0000
1 07/06/2014,00:00:00  0.00000000000000E+0000
1 08/06/2014,00:00:00  0.00000000000000E+0000
1 09/06/2014,00:00:00  0.00000000000000E+0000
1 10/06/2014,00:00:00  0.00000000000000E+0000
1 11/06/2014,00:00:00  0.00000000000000E+0000
1 12/06/2014,00:00:00  0.00000000000000E+0000
1 13/06/2014,00:00:00  0.00000000000000E+0000
1 14/06/2014,00:00:00  0.00000000000000E+0000
1 15/06/2014,00:00:00  0.00000000000000E+0000
1 16/06/2014,00:00:00  0.00000000000000E+0000
