1 --> sim_2014
Date of simulation:  10/06/2015,14:08:40
Description:  
1 27/05/2014,00:00:00  5.04801097393690E-0005
1 28/05/2014,00:00:00  1.76706648452900E-0004
1 29/05/2014,00:00:00  5.62700890276332E-0004
1 30/05/2014,00:00:00  1.18978887161721E-0003
1 31/05/2014,00:00:00  1.90570830549980E-0003
1 01/06/2014,00:00:00  3.43325349318401E-0003
1 02/06/2014,00:00:00  6.89877455387014E-0003
1 03/06/2014,00:00:00  9.47889754894737E-0003
1 04/06/2014,00:00:00  4.92875160302830E-0003
1 05/06/2014,00:00:00  1.93258547495879E-0002
1 06/06/2014,00:00:00  2.59650907189347E-0002
1 07/06/2014,00:00:00  3.84903292909785E-0002
1 08/06/2014,00:00:00  5.84489984118639E-0002
1 09/06/2014,00:00:00  6.78908296503290E-0002
1 10/06/2014,00:00:00  1.00418700142788E-0001
1 11/06/2014,00:00:00  1.43386863865731E-0001
1 12/06/2014,00:00:00  1.87806567418512E-0001
1 13/06/2014,00:00:00  1.38136323019974E-0001
1 14/06/2014,00:00:00  2.43778861231168E-0001
1 15/06/2014,00:00:00  1.66285223660529E-0001
1 16/06/2014,00:00:00  2.79773946189157E-0001
1 17/06/2014,00:00:00  3.54119327246739E-0001
1 18/06/2014,00:00:00  6.10674026421086E-0001
1 19/06/2014,00:00:00  7.26556461402664E-0001
1 20/06/2014,00:00:00  8.96058977325523E-0001
1 21/06/2014,00:00:00  9.57477414470696E-0001
1 22/06/2014,00:00:00  1.12968594399951E+0000
1 23/06/2014,00:00:00  1.35036948453346E+0000
1 24/06/2014,00:00:00  1.46691008455420E+0000
1 25/06/2014,00:00:00  1.21374532056354E+0000
1 26/06/2014,00:00:00  7.45567288590895E-0001
1 27/06/2014,00:00:00  6.55950984231154E-0001
1 28/06/2014,00:00:00  0.00000000000000E+0000
1 29/06/2014,00:00:00  0.00000000000000E+0000
1 30/06/2014,00:00:00  0.00000000000000E+0000
1 01/07/2014,00:00:00  0.00000000000000E+0000
1 02/07/2014,00:00:00  0.00000000000000E+0000
1 03/07/2014,00:00:00  0.00000000000000E+0000
1 04/07/2014,00:00:00  0.00000000000000E+0000
1 05/07/2014,00:00:00  0.00000000000000E+0000
1 06/07/2014,00:00:00  1.05996533412007E+0000
1 07/07/2014,00:00:00  0.00000000000000E+0000
1 08/07/2014,00:00:00  1.88873483876095E+0000
1 09/07/2014,00:00:00  0.00000000000000E+0000
1 10/07/2014,00:00:00  0.00000000000000E+0000
1 11/07/2014,00:00:00  0.00000000000000E+0000
1 12/07/2014,00:00:00  1.22750656800441E+0000
1 13/07/2014,00:00:00  0.00000000000000E+0000
1 14/07/2014,00:00:00  0.00000000000000E+0000
