1 --> sim_03
Date of simulation:  11/03/2016,14:46:53
Description:  
1 18/05/2015,00:00:00  0.00000000000000E+0000
1 19/05/2015,00:00:00  1.00000000000000E+0000
1 20/05/2015,00:00:00  1.00000000000000E+0000
1 21/05/2015,00:00:00  1.00000000000000E+0000
1 22/05/2015,00:00:00  1.00000000000000E+0000
1 23/05/2015,00:00:00  1.00000000000000E+0000
1 24/05/2015,00:00:00  1.00000000000000E+0000
1 25/05/2015,00:00:00  1.00000000000000E+0000
1 26/05/2015,00:00:00  1.00000000000000E+0000
1 27/05/2015,00:00:00  1.00000000000000E+0000
1 28/05/2015,00:00:00  9.88354427776488E-0001
1 29/05/2015,00:00:00  1.00000000000000E+0000
1 30/05/2015,00:00:00  1.00000000000000E+0000
1 31/05/2015,00:00:00  1.00000000000000E+0000
1 01/06/2015,00:00:00  1.00000000000000E+0000
1 02/06/2015,00:00:00  1.00000000000000E+0000
1 03/06/2015,00:00:00  1.00000000000000E+0000
1 04/06/2015,00:00:00  1.00000000000000E+0000
1 05/06/2015,00:00:00  1.00000000000000E+0000
1 06/06/2015,00:00:00  1.00000000000000E+0000
1 07/06/2015,00:00:00  1.00000000000000E+0000
1 08/06/2015,00:00:00  1.00000000000000E+0000
1 09/06/2015,00:00:00  1.00000000000000E+0000
1 10/06/2015,00:00:00  1.00000000000000E+0000
1 11/06/2015,00:00:00  1.00000000000000E+0000
1 12/06/2015,00:00:00  1.00000000000000E+0000
1 13/06/2015,00:00:00  1.00000000000000E+0000
1 14/06/2015,00:00:00  1.00000000000000E+0000
1 15/06/2015,00:00:00  9.84771756736778E-0001
1 16/06/2015,00:00:00  1.00000000000000E+0000
1 17/06/2015,00:00:00  1.00000000000000E+0000
1 18/06/2015,00:00:00  1.00000000000000E+0000
1 19/06/2015,00:00:00  9.10149709469025E-0001
1 20/06/2015,00:00:00  8.56199640203995E-0001
1 21/06/2015,00:00:00  7.66879068939713E-0001
1 22/06/2015,00:00:00  7.82837326041060E-0001
1 23/06/2015,00:00:00  8.48408630794975E-0001
1 24/06/2015,00:00:00  8.36649004586006E-0001
1 25/06/2015,00:00:00  8.57184816760292E-0001
1 26/06/2015,00:00:00  8.28337602302967E-0001
1 27/06/2015,00:00:00  8.33796140396035E-0001
1 28/06/2015,00:00:00  7.46711361741446E-0001
1 29/06/2015,00:00:00  7.08779242985028E-0001
1 30/06/2015,00:00:00  6.77302440198169E-0001
1 01/07/2015,00:00:00  6.61002182753111E-0001
1 02/07/2015,00:00:00  7.39472906070685E-0001
1 03/07/2015,00:00:00  7.22073415641153E-0001
1 04/07/2015,00:00:00  7.35856368142553E-0001
1 05/07/2015,00:00:00  6.40765662999693E-0001
1 06/07/2015,00:00:00  6.12593274931728E-0001
1 07/07/2015,00:00:00  6.12593274931728E-0001
1 08/07/2015,00:00:00  6.49844444816441E-0001
1 09/07/2015,00:00:00  6.49844444816441E-0001
1 10/07/2015,00:00:00  6.22154213483759E-0001
1 11/07/2015,00:00:00  6.07836241765821E-0001
1 12/07/2015,00:00:00  5.61427161417799E-0001
1 13/07/2015,00:00:00  5.36719887804125E-0001
1 14/07/2015,00:00:00  4.53552954724638E-0001
